Company,Date,Open,High,Low,Close,Volume,Adj Close
AAPL,29-Dec-17,170.520004,170.589996,169.220001,169.229996,25999900,169.229996
AAPL,28-Dec-17,171,171.850006,170.479996,171.080002,16480200,171.080002
AAPL,27-Dec-17,170.100006,170.779999,169.710007,170.600006,21498200,170.600006
AAPL,26-Dec-17,170.800003,171.470001,169.679993,170.570007,33185500,170.570007
AAPL,22-Dec-17,174.679993,175.419998,174.5,175.009995,16349400,175.009995
AAPL,21-Dec-17,174.169998,176.020004,174.100006,175.009995,20949900,175.009995
AAPL,20-Dec-17,174.869995,175.419998,173.25,174.350006,23475600,174.350006
AAPL,19-Dec-17,175.029999,175.389999,174.089996,174.539993,27436400,174.539993
AAPL,18-Dec-17,174.880005,177.199997,174.860001,176.419998,29421100,176.419998
AAPL,15-Dec-17,173.630005,174.169998,172.460007,173.970001,40169300,173.970001
AAPL,14-Dec-17,172.399994,173.130005,171.649994,172.220001,20476500,172.220001
AAPL,13-Dec-17,172.5,173.539993,172,172.270004,23818400,172.270004
AAPL,12-Dec-17,172.149994,172.389999,171.460007,171.699997,19409200,171.699997
AAPL,11-Dec-17,169.199997,172.889999,168.789993,172.669998,35273800,172.669998
AAPL,8-Dec-17,170.490005,171,168.820007,169.369995,23355200,169.369995
AAPL,7-Dec-17,169.029999,170.440002,168.910004,169.320007,25673300,169.320007
AAPL,6-Dec-17,167.5,170.199997,166.460007,169.009995,28560000,169.009995
AAPL,5-Dec-17,169.059998,171.520004,168.399994,169.639999,27350200,169.639999
AAPL,4-Dec-17,172.479996,172.619995,169.630005,169.800003,32542400,169.800003
AAPL,1-Dec-17,169.949997,171.669998,168.5,171.050003,39759300,171.050003
AAPL,30-Nov-17,170.429993,172.139999,168.440002,171.850006,41527200,171.850006
AAPL,29-Nov-17,172.630005,172.919998,167.160004,169.479996,41666400,169.479996
AAPL,28-Nov-17,174.300003,174.869995,171.860001,173.070007,26428800,173.070007
AAPL,27-Nov-17,175.050003,175.080002,173.339996,174.089996,20716800,174.089996
AAPL,24-Nov-17,175.100006,175.5,174.649994,174.970001,14026700,174.970001
AAPL,22-Nov-17,173.360001,175,173.050003,174.960007,25588900,174.960007
AAPL,21-Nov-17,170.779999,173.699997,170.779999,173.139999,25131300,173.139999
AAPL,20-Nov-17,170.289993,170.559998,169.559998,169.979996,16262400,169.979996
AAPL,17-Nov-17,171.039993,171.389999,169.639999,170.149994,21899500,170.149994
AAPL,16-Nov-17,171.179993,171.869995,170.300003,171.100006,23637500,171.100006
AAPL,15-Nov-17,169.970001,170.320007,168.380005,169.080002,29158100,169.080002
AAPL,14-Nov-17,173.039993,173.479996,171.179993,171.339996,24782500,171.339996
AAPL,13-Nov-17,173.5,174.5,173.399994,173.970001,16982100,173.970001
AAPL,10-Nov-17,175.110001,175.380005,174.270004,174.669998,25145500,174.669998
AAPL,9-Nov-17,175.110001,176.100006,173.139999,175.880005,29482600,175.25
AAPL,8-Nov-17,174.660004,176.240005,174.330002,176.240005,24409500,175.608719
AAPL,7-Nov-17,173.910004,175.25,173.600006,174.809998,24361500,174.183823
AAPL,6-Nov-17,172.369995,174.990005,171.720001,174.25,35026300,173.625839
AAPL,3-Nov-17,174,174.259995,171.119995,172.5,59398600,171.882111
AAPL,2-Nov-17,166.600006,168.5,165.279999,168.110001,41393400,167.507828
AAPL,1-Nov-17,169.869995,169.940002,165.610001,166.889999,33637800,166.292206
AAPL,31-Oct-17,167.899994,169.649994,166.940002,169.039993,36046800,168.434494
AAPL,30-Oct-17,163.889999,168.070007,163.720001,166.720001,44700800,166.122803
AAPL,27-Oct-17,159.289993,163.600006,158.699997,163.050003,44454200,162.465958
AAPL,26-Oct-17,157.229996,157.830002,156.779999,157.410004,17000500,156.846161
AAPL,25-Oct-17,156.910004,157.550003,155.270004,156.410004,21207100,155.849747
AAPL,24-Oct-17,156.289993,157.419998,156.199997,157.100006,17757200,156.537277
AAPL,23-Oct-17,156.889999,157.690002,155.5,156.169998,21984300,155.610596
AAPL,20-Oct-17,156.610001,157.75,155.960007,156.25,23974100,155.690308
AAPL,19-Oct-17,156.75,157.080002,155.020004,155.979996,42584200,155.42128
AAPL,18-Oct-17,160.419998,160.710007,159.600006,159.759995,16374200,159.187729
AAPL,17-Oct-17,159.779999,160.869995,159.229996,160.470001,18997300,159.895203
AAPL,16-Oct-17,157.899994,160,157.649994,159.880005,24121500,159.307312
AAPL,13-Oct-17,156.729996,157.279999,156.410004,156.990005,16394200,156.427673
AAPL,12-Oct-17,156.350006,157.369995,155.729996,156,16125100,155.441208
AAPL,11-Oct-17,155.970001,156.979996,155.75,156.550003,16905600,155.989243
AAPL,10-Oct-17,156.059998,158,155.100006,155.899994,15617000,155.341553
AAPL,9-Oct-17,155.809998,156.729996,155.490005,155.839996,16262900,155.281784
AAPL,6-Oct-17,154.970001,155.490005,154.559998,155.300003,17407600,154.743713
AAPL,5-Oct-17,154.179993,155.440002,154.050003,155.389999,21283800,154.833389
AAPL,4-Oct-17,153.630005,153.860001,152.460007,153.479996,20163800,152.930237
AAPL,3-Oct-17,154.009995,155.089996,153.910004,154.479996,16230300,153.926651
AAPL,2-Oct-17,154.259995,154.449997,152.720001,153.809998,18698800,153.259048
AAPL,29-Sep-17,153.210007,154.130005,152,154.119995,26299800,153.567932
AAPL,28-Sep-17,153.889999,154.279999,152.699997,153.279999,22005500,152.730957
AAPL,27-Sep-17,153.800003,154.720001,153.539993,154.229996,25504200,153.677551
AAPL,26-Sep-17,151.779999,153.919998,151.690002,153.139999,36660000,152.591446
AAPL,25-Sep-17,149.990005,151.830002,149.160004,150.550003,44387300,150.010727
AAPL,22-Sep-17,151.539993,152.270004,150.559998,151.889999,46645400,151.345932
AAPL,21-Sep-17,155.800003,155.800003,152.75,153.389999,37511700,152.840561
AAPL,20-Sep-17,157.899994,158.259995,153.830002,156.070007,52951400,155.510971
AAPL,19-Sep-17,159.509995,159.770004,158.440002,158.729996,20810600,158.161423
AAPL,18-Sep-17,160.110001,160.5,158,158.669998,28269400,158.101639
AAPL,15-Sep-17,158.470001,160.970001,158,159.880005,49114600,159.307312
AAPL,14-Sep-17,158.990005,159.399994,158.089996,158.279999,23760700,157.713043
AAPL,13-Sep-17,159.869995,159.960007,157.910004,159.649994,44907400,159.078125
AAPL,12-Sep-17,162.610001,163.960007,158.770004,160.860001,71714000,160.283798
AAPL,11-Sep-17,160.5,162.050003,159.889999,161.5,31085900,160.921509
AAPL,8-Sep-17,160.860001,161.149994,158.529999,158.630005,28611500,158.061798
AAPL,7-Sep-17,162.089996,162.240005,160.360001,161.259995,21928500,160.682358
AAPL,6-Sep-17,162.710007,162.990005,160.520004,161.910004,21651700,161.330048
AAPL,5-Sep-17,163.75,164.25,160.559998,162.080002,29468500,161.499435
AAPL,1-Sep-17,164.800003,164.940002,163.630005,164.050003,16591100,163.462372
AAPL,31-Aug-17,163.639999,164.520004,163.479996,164,26785100,163.412552
AAPL,30-Aug-17,163.800003,163.889999,162.610001,163.350006,27269600,162.764893
AAPL,29-Aug-17,160.100006,163.119995,160,162.910004,29516900,162.326462
AAPL,28-Aug-17,160.139999,162,159.929993,161.470001,25966000,160.891617
AAPL,25-Aug-17,159.649994,160.559998,159.270004,159.860001,25480100,159.287384
AAPL,24-Aug-17,160.429993,160.740005,158.550003,159.270004,19818900,158.699493
AAPL,23-Aug-17,159.070007,160.470001,158.880005,159.979996,19399100,159.406952
AAPL,22-Aug-17,158.229996,160,158.020004,159.779999,21604600,159.207672
AAPL,21-Aug-17,157.5,157.889999,155.110001,157.210007,26368500,156.646881
AAPL,18-Aug-17,157.860001,159.5,156.720001,157.5,27428100,156.935837
AAPL,17-Aug-17,160.520004,160.710007,157.839996,157.860001,27940600,157.29454
AAPL,16-Aug-17,161.940002,162.509995,160.149994,160.949997,27671600,160.373474
AAPL,15-Aug-17,160.660004,162.199997,160.139999,161.600006,29465500,161.021149
AAPL,14-Aug-17,159.320007,160.210007,158.75,159.850006,22122700,159.27742
AAPL,11-Aug-17,156.600006,158.570007,156.070007,157.479996,26257100,156.915909
AAPL,10-Aug-17,159.899994,160,154.630005,155.320007,40804300,154.763657
