Company,Date,Open,High,Low,Close,Volume,Adj Close
IBM,29-Dec-17,154.169998,154.720001,153.419998,153.419998,3327100,153.419998
IBM,28-Dec-17,153.199997,154.119995,153.199997,154.039993,2687600,154.039993
IBM,27-Dec-17,152.949997,153.179993,152.610001,153.130005,2149300,153.130005
IBM,26-Dec-17,152.509995,153.860001,152.5,152.830002,2479000,152.830002
IBM,22-Dec-17,151.820007,153,151.5,152.5,2990600,152.5
IBM,21-Dec-17,153.169998,153.460007,151.490005,151.5,4153900,151.5
IBM,20-Dec-17,153.649994,153.889999,152.779999,152.949997,3785700,152.949997
IBM,19-Dec-17,154.050003,154.169998,153.089996,153.229996,4116400,153.229996
IBM,18-Dec-17,153.589996,154.179993,153.210007,153.330002,5092800,153.330002
IBM,15-Dec-17,153.610001,153.800003,152.029999,152.5,11279900,152.5
IBM,14-Dec-17,154.600006,155.110001,153.699997,154,4637400,154
IBM,13-Dec-17,156.600006,156.729996,153.889999,153.910004,5661600,153.910004
IBM,12-Dec-17,157.300003,157.850006,155.160004,156.740005,6321800,156.740005
IBM,11-Dec-17,155.460007,155.889999,154.570007,155.410004,4102700,155.410004
IBM,8-Dec-17,154.979996,155.029999,153.550003,154.809998,3520300,154.809998
IBM,7-Dec-17,153.589996,154.449997,153.259995,153.570007,3771100,153.570007
IBM,6-Dec-17,154.100006,156.220001,154.089996,154.100006,3410700,154.100006
IBM,5-Dec-17,156.449997,156.740005,154.679993,155.350006,5068000,155.350006
IBM,4-Dec-17,155.960007,156.800003,155.070007,156.460007,4664300,156.460007
IBM,1-Dec-17,154.399994,155.020004,152.910004,154.759995,5567900,154.759995
IBM,30-Nov-17,153.649994,154.410004,153.080002,153.970001,6500800,153.970001
IBM,29-Nov-17,152.809998,153.610001,152.169998,153.550003,5098700,153.550003
IBM,28-Nov-17,152.350006,152.929993,151.699997,152.470001,3973700,152.470001
IBM,27-Nov-17,152.059998,152.490005,151.619995,151.979996,3374000,151.979996
IBM,24-Nov-17,151.949997,152.199997,151.330002,151.839996,1193000,151.839996
IBM,22-Nov-17,152,152.389999,151.330002,151.770004,3213600,151.770004
IBM,21-Nov-17,151.300003,152.449997,151.199997,151.949997,3756200,151.949997
IBM,20-Nov-17,150.639999,151.949997,149.899994,150.509995,5676500,150.509995
IBM,17-Nov-17,149.339996,150.149994,148.830002,148.970001,4916500,148.970001
IBM,16-Nov-17,147.729996,149.649994,147.5,149.119995,5446500,149.119995
IBM,15-Nov-17,148,148.710007,146.210007,147.100006,4773300,147.100006
IBM,14-Nov-17,147.949997,148.970001,147.490005,148.889999,3758000,148.889999
IBM,13-Nov-17,148.880005,149,147.919998,148.399994,5107500,148.399994
IBM,10-Nov-17,150.649994,150.889999,149.139999,149.160004,4307300,149.160004
IBM,9-Nov-17,149.929993,151.800003,149.860001,150.300003,4776500,150.300003
IBM,8-Nov-17,151.600006,151.789993,150.279999,151.570007,4634400,150.070007
IBM,7-Nov-17,151.369995,151.509995,150.5,151.350006,3701100,149.852188
IBM,6-Nov-17,151.770004,151.820007,150.279999,150.839996,4498400,149.347229
IBM,3-Nov-17,153.419998,153.470001,151.490005,151.580002,4431800,150.07991
IBM,2-Nov-17,154.179993,154.490005,152.910004,153.350006,3397600,151.832397
IBM,1-Nov-17,154.100006,154.899994,153.830002,154.029999,3240200,152.505661
IBM,31-Oct-17,154.330002,154.929993,152.929993,154.059998,4328300,152.535355
IBM,30-Oct-17,153.759995,154.589996,152.710007,154.360001,4210400,152.832397
IBM,27-Oct-17,154.539993,154.630005,152.910004,153.679993,4895200,152.159119
IBM,26-Oct-17,154.309998,155.119995,153.539993,153.600006,4300500,152.079926
IBM,25-Oct-17,156.009995,156.369995,153.059998,153.5,6921100,151.980896
IBM,24-Oct-17,159.649994,159.699997,155.169998,155.880005,8194700,154.337357
IBM,23-Oct-17,162.050003,162.509995,159.539993,159.550003,5779400,157.971039
IBM,20-Oct-17,161.070007,162.479996,159.770004,162.070007,7868800,160.466095
IBM,19-Oct-17,159.800003,160.960007,159.089996,160.899994,9914200,159.307663
IBM,18-Oct-17,157.119995,161.229996,156.949997,159.529999,30490200,157.951233
IBM,17-Oct-17,146.630005,147.119995,146.179993,146.539993,6372400,145.089783
IBM,16-Oct-17,147.220001,147.669998,146.509995,146.830002,3052100,145.376907
IBM,13-Oct-17,147.479996,147.850006,146.940002,147.100006,2506600,145.644241
IBM,12-Oct-17,147.559998,147.889999,146.770004,147.029999,3264300,145.574936
IBM,11-Oct-17,148.399994,148.470001,147.279999,147.619995,3702200,146.159088
IBM,10-Oct-17,147.710007,148.949997,147.649994,148.5,4032600,147.03038
IBM,9-Oct-17,146.5,147.789993,146.350006,147.389999,2682600,145.931366
IBM,6-Oct-17,146.639999,146.850006,146.320007,146.479996,2623200,145.030365
IBM,5-Oct-17,146.679993,147.539993,146.479996,146.720001,2686500,145.268005
IBM,4-Oct-17,147,147.020004,146.110001,146.479996,2244400,145.030365
IBM,3-Oct-17,146.690002,147.199997,146.339996,146.779999,2302700,145.327408
IBM,2-Oct-17,145.350006,146.869995,145.210007,146.660004,2973200,145.208603
IBM,29-Sep-17,145.449997,145.690002,144.919998,145.080002,2654700,143.644226
IBM,28-Sep-17,145.660004,145.860001,144.210007,145.660004,2774800,144.218491
IBM,27-Sep-17,146.679993,146.899994,145.029999,145.660004,3502700,144.218491
IBM,26-Sep-17,146.360001,147.419998,145.940002,146.559998,4488600,145.109589
IBM,25-Sep-17,145.119995,146.029999,144.910004,145.869995,5213100,144.426407
IBM,22-Sep-17,145.589996,145.589996,144.589996,145.130005,2792300,143.693741
IBM,21-Sep-17,145.649994,145.889999,145.100006,145.259995,2555600,143.822449
IBM,20-Sep-17,144.929993,145.880005,144.419998,145.880005,5447500,144.436325
IBM,19-Sep-17,144.789993,144.979996,144.220001,144.389999,3464400,142.96106
IBM,18-Sep-17,144.809998,145.479996,144.270004,144.550003,3019500,143.119476
IBM,15-Sep-17,144.820007,145.169998,144.080002,144.820007,7397200,143.38681
IBM,14-Sep-17,145.860001,146.380005,145.509995,145.539993,3756900,144.09967
IBM,13-Sep-17,145.350006,146.289993,145.339996,145.990005,4101000,144.545227
IBM,12-Sep-17,145.110001,146.369995,144.509995,145.759995,5238100,144.31749
IBM,11-Sep-17,143.539993,145.130005,143.009995,144.860001,4613400,143.426407
IBM,8-Sep-17,143.149994,143.149994,141.639999,142.449997,3366200,141.040253
IBM,7-Sep-17,144.100006,144.639999,142.410004,142.899994,4188200,141.485794
IBM,6-Sep-17,143.880005,144.470001,143.5,143.820007,3273300,142.396713
IBM,5-Sep-17,143.5,144.360001,142.699997,143.039993,3097500,141.62442
IBM,1-Sep-17,142.979996,144.5,142.979996,144.080002,3351700,142.654129
IBM,31-Aug-17,143.020004,143.660004,142.630005,143.029999,3656400,141.614517
IBM,30-Aug-17,143.259995,143.279999,142.410004,142.559998,2736000,141.14917
IBM,29-Aug-17,142.100006,143.429993,141.899994,143.139999,3009500,141.723434
IBM,28-Aug-17,144.110001,144.559998,142.389999,142.509995,5134500,141.099655
IBM,25-Aug-17,143.300003,144.190002,143.25,143.740005,2872900,142.31749
IBM,24-Aug-17,142.5,143.679993,142.25,142.940002,3592200,141.525406
IBM,23-Aug-17,140.699997,143.050003,140.679993,142.139999,4048300,140.733322
IBM,22-Aug-17,140.639999,141.149994,140.380005,141.009995,2544400,139.614502
IBM,21-Aug-17,139.589996,140.419998,139.130005,140.330002,3190700,138.941238
IBM,18-Aug-17,140.869995,141.149994,139.580002,139.699997,4152700,138.317474
IBM,17-Aug-17,142.520004,142.889999,140.699997,140.699997,4422100,139.307571
IBM,16-Aug-17,141.789993,142.910004,141.610001,142.5,3287800,141.089767
IBM,15-Aug-17,142.550003,143.339996,140.580002,142.070007,4681500,140.664032
IBM,14-Aug-17,142,142.759995,141.940002,142.320007,2222300,140.911545
IBM,11-Aug-17,142.449997,142.589996,141.520004,141.839996,3004000,140.436295
IBM,10-Aug-17,141.639999,142.419998,141.229996,141.839996,4525400,140.436295
IBM,9-Aug-17,141.75,142.029999,141.190002,141.770004,2925800,140.366989
IBM,8-Aug-17,142,142.759995,142,142.110001,3298700,140.703629
IBM,7-Aug-17,145,145.089996,142.75,143.470001,4618300,140.565002
IBM,4-Aug-17,145,145.389999,144.399994,145.160004,2549400,142.220795
IBM,3-Aug-17,144.429993,145.339996,144.429993,144.940002,3035400,142.005249
IBM,2-Aug-17,145.119995,145.289993,144.220001,144.449997,3540900,141.525177
IBM,1-Aug-17,145,145.669998,144.720001,145.300003,3219500,142.357956
IBM,31-Jul-17,144.380005,144.929993,144.169998,144.669998,4355700,141.740707
IBM,28-Jul-17,144.809998,145.039993,143.839996,144.289993,3054800,141.368393
IBM,27-Jul-17,145,145.399994,143.639999,145.070007,6430800,142.132629
IBM,26-Jul-17,146.270004,146.460007,144.470001,145.360001,3932400,142.416733
IBM,25-Jul-17,146.570007,147.490005,146.029999,146.190002,4208900,143.229935
IBM,24-Jul-17,147,147.039993,145.800003,145.990005,3877600,143.033981
IBM,21-Jul-17,147.589996,147.869995,146.509995,147.080002,6509500,144.101929
IBM,20-Jul-17,147.529999,148.830002,147.029999,147.660004,7212200,144.670166
IBM,19-Jul-17,150.020004,150.25,146.710007,147.529999,14293600,144.542801
IBM,18-Jul-17,152.360001,154.289993,152,154,7566800,150.88179
IBM,17-Jul-17,153.589996,153.880005,152.240005,153.009995,4762600,149.911835
IBM,14-Jul-17,154.009995,154.619995,153.399994,154.240005,3256400,151.116943
IBM,13-Jul-17,153.699997,154.190002,153.190002,153.630005,2476100,150.519302
IBM,12-Jul-17,153.479996,154.240005,153.050003,153.699997,3097900,150.587875
IBM,11-Jul-17,153.259995,153.649994,152.050003,153.190002,3447500,150.088196
IBM,10-Jul-17,152.910004,153.889999,152.630005,153.419998,3206200,150.313553
IBM,7-Jul-17,152.619995,153.490005,152.139999,152.940002,2460100,149.843262
IBM,6-Jul-17,153.360001,153.830002,152.229996,152.360001,2757500,149.275009
IBM,5-Jul-17,155.770004,155.889999,153.630005,153.669998,3564400,150.558472
IBM,3-Jul-17,153.580002,156.029999,153.520004,155.580002,2822500,152.42981
IBM,30-Jun-17,154.279999,154.5,153.139999,153.830002,3571500,150.715256
IBM,29-Jun-17,155.350006,155.740005,153.619995,154.130005,3262200,151.009171
IBM,28-Jun-17,155.149994,155.550003,154.779999,155.320007,2221000,152.175079
IBM,27-Jun-17,155,155.339996,154.5,154.75,2386500,151.616608
IBM,26-Jun-17,154.710007,155.75,154.630005,155.229996,2153500,152.086884
IBM,23-Jun-17,154.339996,154.679993,153.800003,154.110001,3282200,150.989578
IBM,22-Jun-17,154.550003,154.990005,153.690002,154.399994,2376500,151.273697
IBM,21-Jun-17,155.789993,155.789993,153.389999,153.789993,3959700,150.676041
IBM,20-Jun-17,154.479996,155.389999,154.25,154.949997,4481700,151.812561
IBM,19-Jun-17,155.509995,155.860001,154.539993,154.839996,4629500,151.704788
IBM,16-Jun-17,154.229996,155.419998,152.970001,155.380005,6742000,152.233871
IBM,15-Jun-17,153.289993,154.690002,153.289993,154.220001,4654300,151.097336
IBM,14-Jun-17,153.970001,154.940002,152.940002,153.809998,3049100,150.695633
IBM,13-Jun-17,155.440002,155.479996,154.149994,154.25,3523500,151.12674
IBM,12-Jun-17,154.190002,157.199997,154.020004,155.179993,6471500,152.037903
IBM,9-Jun-17,152,154.259995,151.880005,154.100006,4361500,150.979782
IBM,8-Jun-17,151,152.820007,150.919998,152.100006,3709000,149.020279
IBM,7-Jun-17,153.050003,154.199997,150.800003,150.979996,4865700,147.922943
IBM,6-Jun-17,152,152.889999,152,152.369995,3797200,149.284805
IBM,5-Jun-17,151.820007,152.929993,151.679993,152.410004,3975100,149.324005
IBM,2-Jun-17,153.070007,153.199997,151.800003,152.050003,3585700,148.971283
IBM,1-Jun-17,152.800003,152.869995,151.630005,152.669998,2918100,149.57872
IBM,31-May-17,152.029999,152.800003,151.649994,152.630005,3543400,149.539551
IBM,30-May-17,151.949997,152.669998,151.589996,151.729996,3666000,148.657761
IBM,26-May-17,152.850006,153,152.059998,152.490005,2443300,149.40239
IBM,25-May-17,153.25,153.729996,152.949997,153.199997,2582700,150.097992
IBM,24-May-17,152.210007,152.759995,151.229996,152.509995,3732400,149.421967
IBM,23-May-17,152.570007,153.679993,151.919998,152.029999,2564500,148.951691
IBM,22-May-17,152.100006,152.839996,151.600006,152.639999,3302100,149.549332
IBM,19-May-17,151.009995,152.460007,150.889999,151.979996,5643000,148.902695
IBM,18-May-17,150.860001,151.330002,150.110001,150.779999,3274200,147.72699
IBM,17-May-17,153.300003,154.139999,150.889999,150.929993,5191500,147.873962
IBM,16-May-17,151.660004,153.990005,151.660004,153.679993,5513700,150.568268
IBM,15-May-17,150.619995,151.830002,150.449997,151.509995,4245500,148.4422
IBM,12-May-17,150.300003,151.259995,150,150.369995,3715300,147.325287
IBM,11-May-17,151.050003,151.149994,149.789993,150.649994,5627900,147.599625
IBM,10-May-17,151.649994,152.369995,151.130005,151.25,4999900,148.187469
IBM,9-May-17,152.600006,153.100006,151.559998,152.110001,6853000,149.03006
IBM,8-May-17,152.800003,153.470001,152.199997,153.029999,7492000,149.931442
IBM,5-May-17,153.520004,155.779999,153,155.050003,12521300,150.440903
IBM,4-May-17,158.889999,159.139999,158.360001,159.050003,4280600,154.322006
IBM,3-May-17,158.740005,159.449997,158.520004,158.630005,3993300,153.91449
IBM,2-May-17,159.440002,159.490005,158.639999,159.100006,3208200,154.370514
IBM,1-May-17,160.050003,160.419998,158.699997,158.839996,4935300,154.11824
IBM,28-Apr-17,160.5,160.589996,159.699997,160.289993,4154100,155.525146
IBM,27-Apr-17,160.289993,160.479996,159.630005,160.320007,4122600,155.55426
IBM,26-Apr-17,160.529999,161.100006,159.889999,160.059998,4327800,155.301971
IBM,25-Apr-17,161.779999,162.039993,160.380005,160.389999,4860400,155.622162
IBM,24-Apr-17,161.289993,161.570007,160.419998,160.75,5320600,155.971466
IBM,21-Apr-17,162.050003,162.110001,160.380005,160.380005,5607800,155.612488
IBM,20-Apr-17,161.320007,162.399994,160.5,162.300003,6486800,157.475388
IBM,19-Apr-17,161.759995,162.639999,159.600006,161.690002,19284300,156.88353
IBM,18-Apr-17,170.789993,171.690002,169.830002,170.050003,6345500,164.995026
IBM,17-Apr-17,169.75,171.300003,169.619995,171.100006,3720200,166.013809
