Company,Date,Open,High,Low,Close,Volume,Adj Close
XOM,29-Dec-17,84,84.199997,83.639999,83.639999,8523400,83.639999
XOM,28-Dec-17,83.980003,84.050003,83.800003,84.019997,7495300,84.019997
XOM,27-Dec-17,83.989998,84.099998,83.739998,83.900002,7000600,83.900002
XOM,26-Dec-17,83.959999,84.360001,83.900002,83.980003,4777200,83.980003
XOM,22-Dec-17,83.879997,84.019997,83.599998,83.970001,10161400,83.970001
XOM,21-Dec-17,83.349998,84.269997,82.959999,83.849998,13578100,83.849998
XOM,20-Dec-17,82.599998,83.139999,82.519997,82.870003,10620300,82.870003
XOM,19-Dec-17,83.029999,83.169998,82.330002,82.440002,10285100,82.440002
XOM,18-Dec-17,83.18,83.669998,82.910004,82.940002,9363500,82.940002
XOM,15-Dec-17,83.160004,83.279999,82.870003,83.029999,26582300,83.029999
XOM,14-Dec-17,83.029999,83.330002,82.889999,82.900002,9492400,82.900002
XOM,13-Dec-17,82.610001,83.300003,82.480003,83.120003,10172700,83.120003
XOM,12-Dec-17,82.889999,83.379997,82.699997,82.760002,11307000,82.760002
XOM,11-Dec-17,83.040001,83.25,82.739998,83.029999,8760700,83.029999
XOM,8-Dec-17,82.489998,82.900002,82.260002,82.660004,11988600,82.660004
XOM,7-Dec-17,82.400002,82.620003,82.169998,82.550003,11359600,82.550003
XOM,6-Dec-17,82.849998,83.199997,82.209999,82.279999,13398900,82.279999
XOM,5-Dec-17,83.410004,83.769997,82.709999,82.889999,9357200,82.889999
XOM,4-Dec-17,83.209999,84.18,83,83.57,12597700,83.57
XOM,1-Dec-17,83.440002,84.129997,82.410004,83.459999,13779300,83.459999
XOM,30-Nov-17,82.449997,83.400002,82.410004,83.290001,18592700,83.290001
XOM,29-Nov-17,81.650002,82.309998,81.480003,82.269997,9725000,82.269997
XOM,28-Nov-17,81.410004,82,81.309998,81.669998,9794600,81.669998
XOM,27-Nov-17,81.32,81.400002,81.019997,81.110001,9127500,81.110001
XOM,24-Nov-17,81.440002,81.699997,81.220001,81.419998,3851300,81.419998
XOM,22-Nov-17,81.160004,81.410004,81.050003,81.099998,7941600,81.099998
XOM,21-Nov-17,80.690002,81.25,80.639999,80.870003,8838400,80.870003
XOM,20-Nov-17,80.230003,80.639999,80.010002,80.550003,8468600,80.550003
XOM,17-Nov-17,80.32,80.660004,80.160004,80.239998,9536400,80.239998
XOM,16-Nov-17,80.440002,80.849998,80.150002,80.559998,10527200,80.559998
XOM,15-Nov-17,81.75,82.089996,81.150002,81.209999,9663600,81.209999
XOM,14-Nov-17,82.419998,82.75,82.089996,82.239998,9251700,82.239998
XOM,13-Nov-17,82.650002,83.089996,82.599998,82.889999,6720400,82.889999
XOM,10-Nov-17,83.010002,83.080002,82.419998,82.940002,8693700,82.940002
XOM,9-Nov-17,83.300003,84.139999,83.080002,83.970001,10528800,83.200005
XOM,8-Nov-17,83.360001,83.5,82.860001,83.470001,8691600,82.70459
